Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,118,Boise,,ID,83703,60 000 SF,735 SF,Northwest-,Office Building,B,$0.94 - $91.67 /SF/Mo,735 SF,,Amanda Alvaro,18317063,
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,174,Boise,,ID,83703,60 000 SF,239 SF,Northwest-,Office Building,B,$0.94 - $91.67 /SF/Mo,239 SF,,Amanda Alvaro,18317063,Now
Office,The Water Front @ Lake Harbor,3100 N. Lake Harbor,184A,Boise,,ID,83703,60 000 SF,678 SF,Northwest-,Office Building,B,$0.11 - $91.67 /SF/Mo,678 SF,,Amanda Alvaro,18317063,Now
Retail,Water's Edge Build to Suit Lot,6655 Glenwood Street,Lot,Garden City,,ID,83714,10 000 SF,10 000 SF,Northwest-,Free Standing Bldg,,Negotiable,10 000 SF,,Jennifer McEntee,18218772,
Retail,Shops at State & Bloom,5600-5630 W. State Street,8,Boise,,ID,83703,16 230 SF,1 440 SF,Northwest-,Retail (Other),,$1.08 /SF/Mo,1 440 SF,,Thornton Oliver Keller Commercial Real Estate,14949315,Now
Retail,Shops at State & Bloom,5600-5630 W. State Street,9,Boise,,ID,83703,16 230 SF,2 871 SF,Northwest-,Retail (Other),,$0.75 - $1.08 /SF/Mo,2 871 SF,,Thornton Oliver Keller Commercial Real Estate,14949315,Now
Retail,Shops at State & Bloom,5600-5630 W. State Street,3,Boise,,ID,83703,16 230 SF,1 440 SF,Northwest-,Retail (Other),,$0.75 - $1.08 /SF/Mo,1 440 SF,,Thornton Oliver Keller Commercial Real Estate,14949315,Now
Retail,Shops at Glenwood,6711 Glenwood Street,101,Boise,,ID,83714,11 730 SF,1 540 SF,Northwest-,Retail (Other),,$0.75 /SF/Mo,1 540 SF,,Thornton Oliver Keller Commercial Real Estate,16123256,Now
Retail,Shops at Glenwood,6711 Glenwood Street,103-107,Boise,,ID,83714,11 730 SF,7 510 SF,Northwest-,Retail (Other),,Negotiable,7 510 SF,,Thornton Oliver Keller Commercial Real Estate,16123256,Now
Retail,Eagle Promenade,3116 E. State Street,1,Eagle,,ID,83616,,1 180 SF,Northwest-,Power Center,,Negotiable,4 200 SF,,Jason White,16733973,
Retail,Eagle Promenade,3116 E. State Street,2,Eagle,,ID,83616,,1 691 SF,Northwest-,Power Center,,Negotiable,3 061 SF,,Jason White,16733973,Now
Industrial,,1428 Madison Avenue,Warehouse 1,Nampa,,ID,83687,142 250 SF,20 710 SF,Northside Nampa,Warehouse,,$0.35 /SF/Mo,20 710 SF,,Chris Penland,18667815,Now
Industrial,,1428 Madison Avenue,Warehouse 2,Nampa,,ID,83687,142 250 SF,15 126 SF,Northside Nampa,Warehouse,,$0.35 /SF/Mo,15 126 SF,,Chris Penland,18667815,Now
Industrial,,1428 Madison Avenue,Warehouse 3,Nampa,,ID,83687,142 250 SF,20 000 SF,Northside Nampa,Warehouse,,$0.35 /SF/Mo,20 000 SF,,Chris Penland,18667815,Now
Industrial,,1428 Madison Avenue,Warehouse 4,Nampa,,ID,83687,142 250 SF,40 000 SF,Northside Nampa,Warehouse,,$0.40 /SF/Mo,40 000 SF,,Chris Penland,18667815,Now
Industrial,,1428 Madison Avenue,Warehouse 5,Nampa,,ID,83687,142 250 SF,16 080 SF,Northside Nampa,Warehouse,,$0.30 /SF/Mo,16 080 SF,,Chris Penland,18667815,Now
Industrial,,1428 Madison Avenue,Office Building,Nampa,,ID,83687,142 250 SF,9 706 SF,Northside Nampa,Warehouse,,$0.55 /SF/Mo,9 706 SF,,Chris Penland,18667815,Now
Industrial,,1428 Madison Avenue,Warehouse 7,Nampa,,ID,83687,142 250 SF,2 920 SF,Northside Nampa,Warehouse,,$0.35 /SF/Mo,2 920 SF,,Chris Penland,18667815,Now
Industrial,,1428 Madison Avenue,Cold Storage,Nampa,,ID,83687,142 250 SF,2 480 SF,Northside Nampa,Warehouse,,$0.30 /SF/Mo,2 480 SF,,Chris Penland,18667815,Now
Industrial,,1428 Madison Avenue,Lean To,Nampa,,ID,83687,142 250 SF,6 750 SF,Northside Nampa,Warehouse,,$0.10 /SF/Mo,6 750 SF,,Chris Penland,18667815,Now
Industrial,,1428 Madison Avenue,Lean To,Nampa,,ID,83687,142 250 SF,6 750 SF,Northside Nampa,Warehouse,,$0.10 /SF/Mo,6 750 SF,,Chris Penland,18667815,Now
